,FCD,PCD,Fi,Pi,d,VDPp,VDPn,VDEp,VDEn,time
0,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,0.0
1,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,0.1
2,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,0.2
3,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,0.3
4,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,0.4
5,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,0.5
6,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,0.6
7,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,0.7
8,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,0.8
9,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,0.9
10,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,1.0
11,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,1.1
12,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,1.2
13,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,1.3
14,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,1.4
15,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,1.5
16,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,1.6
17,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,1.7
18,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,1.8
19,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,1.9
20,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,2.0
21,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,2.1
22,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,2.2
23,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,2.3
24,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,2.4
25,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,2.5
26,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,2.6
27,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,2.7
28,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,2.8
29,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,2.9
30,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,3.0
31,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,3.1
32,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,3.2
33,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,3.3
34,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,3.4
35,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,3.5
36,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,3.6
37,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,3.7
38,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,3.8
39,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,3.9
40,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,4.0
41,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,4.1
42,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,4.2
43,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,4.3
44,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,4.4
45,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,4.5
46,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,4.6
47,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,4.7
48,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,4.8
49,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,4.9
50,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,5.0
51,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,5.1
52,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,5.2
53,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,5.3
54,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,5.4
55,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,5.5
56,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,5.6
57,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,5.7
58,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,5.8
59,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,5.9
60,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,6.0
61,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,6.1
62,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,6.2
63,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,6.3
64,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,6.4
65,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,6.5
66,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,6.6
67,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,6.7
68,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,6.8
69,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,6.9
70,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,7.0
71,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,7.1
72,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,7.2
73,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,7.3
74,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,7.4
75,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,7.5
76,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,7.6
77,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,7.7
78,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,7.8
79,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,7.9
80,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,8.0
81,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,8.1
82,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,8.2
83,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,8.3
84,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,8.4
85,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,8.5
86,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,8.6
87,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,8.7
88,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,8.8
89,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,8.9
90,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,9.0
91,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,9.1
92,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,9.2
93,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,9.3
94,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,9.4
95,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,9.5
96,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,9.6
97,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,9.7
98,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,9.8
99,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,9.9
100,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,10.0
101,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,10.1
102,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,10.2
103,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,10.3
104,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,10.4
105,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,10.5
106,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,10.6
107,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,10.7
108,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,10.8
109,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,10.9
110,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,11.0
111,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,11.1
112,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,11.2
113,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,11.3
114,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,11.4
115,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,11.5
116,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,11.6
117,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,11.7
118,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,11.8
119,112.0,0.0,0.0,0.0,23980.477312,0.0,0.0,0.0,0.0,11.9
